ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
243,"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial",NDUFB5,2909854,AF047181,O43674,NDUB5_HUMAN,5XTC; 5XTD; 5XTH; 5XTI,NDUFB5,NDUFB5,HGNC:7700,Humans,DB00157
244,"Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial",ALDH4A1,1353250,U24267,P30038,AL4A1_HUMAN,3V9G; 3V9H; 3V9I; 4OE5; 8RKQ; 8RKR,ALDH4A1,ALDH4A1,HGNC:406,Humans,DB00157
245,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 10,NDUFB10,4164442,AF044954,O96000,NDUBA_HUMAN,5XTC; 5XTD; 5XTH; 5XTI,NDUFB10,NDUFB10,HGNC:7696,Humans,DB00157
246,Apoptosis regulator Bcl-2,BCL2,179367,M13994,P10415,BCL2_HUMAN,1G5M; 1GJH; 1YSW; 2O21; 2O22; 2O2F; 2W3L; 2XA0; 4AQ3; 4IEH; 4LVT; 4LXD; 4MAN; 5AGW; 5AGX; 5FCG; 5JSN; 5VAU; 5VAX; 5VAY; 6GL8; 6IWB; 6O0K; 6O0L; 6O0M; 6O0O; 6O0P; 7LHB; 7Y90; 7YA5; 8FY1; 8FY2; 8HLL; 8HLM; 8HLN; 8HOG; 8HOH; 8HOI; 8HTR; 8HTS; 8IQL; 8U27; 8VWX; 8VWZ; 8VXM; 8VXN,BCL2,BCL2,HGNC:990,Humans,DB00361; DB01050; DB01229; DB01248; DB01367; DB05103; DB05297; DB05606; DB06307; DB09213; DB11581; DB12191; DB12243; DB12340; DB12816; DB12843; DB13044; DB13811; DB16447; DB17023; DB17059; DB18054
247,Muscarinic acetylcholine receptor M5,CHRM5,177988,M80333,P08912,ACM5_HUMAN,6OL9,CHRM5,CHRM5,HGNC:1954,Humans,DB00209; DB00246; DB00342; DB00363; DB00376; DB00383; DB00387; DB00408; DB00420; DB00424; DB00458; DB00483; DB00496; DB00505; DB00517; DB00572; DB00622; DB00725; DB00747; DB00767; DB00835; DB00934; DB00940; DB00979; DB00986; DB01019; DB01036; DB01069; DB01085; DB01142; DB01148; DB01151; DB01224; DB01238; DB01239; DB01403; DB01409; DB01591; DB04660; DB04843; DB05752; DB06702; DB06709; DB08897; DB09023; DB09076; DB09167; DB09271; DB09300; DB11181; DB11235; DB11960; DB12086; DB12278; DB12554; DB13247; DB13254; DB13262; DB13505; DB13581; DB14185; DB14585; DB15357
248,Polyunsaturated fatty acid 5-lipoxygenase,ALOX5,187193,J03600,P09917,LOX5_HUMAN,3O8Y; 3V92; 3V98; 3V99; 6N2W; 6NCF; 7TTJ; 7TTK; 7TTL,ALOX5,ALOX5,HGNC:435,Humans,DB00159; DB00163; DB00179; DB00233; DB00244; DB00471; DB00711; DB00744; DB00795; DB00939; DB01014; DB01017; DB01852; DB01880; DB01892; DB02709; DB04725; DB04864; DB05431; DB08955; DB09285; DB09298; DB11466; DB11645; DB11994; DB12010; DB12435; DB12758; DB13174; DB13481; DB14001; DB14002; DB16101; DB16144; DB16739; DB17040; DB18010; DB18267; DB19283; DB19753; DB20017; DB20173; DB20247; DB21002
249,Sodium- and chloride-dependent GABA transporter 1,SLC6A1,31658,X54673,P30531,SC6A1_HUMAN,7SK2; 7Y7V; 7Y7W; 7Y7Y; 7Y7Z,SLC6A1,SLC6A1,HGNC:11042,Humans,DB00906; DB02530; DB08848; DB08849; DB16554
250,Purine nucleoside phosphorylase,PNP,35565,X00737,P00491,PNPH_HUMAN,1M73; 1PF7; 1PWY; 1RCT; 1RFG; 1RR6; 1RSZ; 1RT9; 1ULA; 1ULB; 1V2H; 1V3Q; 1V41; 1V45; 1YRY; 2A0W; 2A0X; 2A0Y; 2OC4; 2OC9; 2ON6; 2Q7O; 3BGS; 3D1V; 3GB9; 3GGS; 3INY; 3K8O; 3K8Q; 3PHB; 4EAR; 4EB8; 4ECE; 4GKA; 5ETJ; 5UGF; 7ZSL; 7ZSM; 7ZSN; 7ZSO; 7ZSP,PNP,NP,HGNC:7892,Humans,DB00242; DB00900; DB01667; DB02222; DB02230; DB02377; DB02391; DB02568; DB02796; DB02857; DB02985; DB03101; DB03411; DB03551; DB03609; DB03881; DB04076; DB04095; DB04260; DB04335; DB04753; DB04754; DB04757; DB06185; DB12353
252,Tyrosinase,TYR,340037,M27160,P14679,TYRO_HUMAN,7RK7,TYR,TYR,HGNC:12442,Humans,DB00157; DB00548; DB00600; DB01055; DB01759; DB03694; DB08754; DB09526; DB11217; DB11254; DB16865; DB21426
253,"4-aminobutyrate aminotransferase, mitochondrial",ABAT,602705,L32961,P80404,GABT_HUMAN,,ABAT,ABAT,HGNC:23,Humans,DB00114; DB00119; DB00142; DB00160; DB00313; DB00780; DB01080; DB01699; DB03560; DB03940; DB04235; DB08849; DB14511; DB17919
254,5'-AMP-activated protein kinase subunit beta-1,PRKAB1,2916800,AJ224515,Q9Y478,AAKB1_HUMAN,4CFE; 4CFF; 4ZHX; 5EZV; 5ISO; 6B1U; 6C9F; 6C9G; 6C9H; 6C9J; 7MYJ; 8BIK,PRKAB1,PRKAB1,HGNC:9378,Humans,DB00131; DB00331; DB00914; DB04462; DB04944; DB08039; DB08597; DB12509
255,Retinol-binding protein 3,RBP3,186541,M33875,P10745,RET3_HUMAN,,RBP3,RBP3,HGNC:9921,Humans,DB11948
256,SEC14-like protein 2,SEC14L2,5596693,AL096881,O76054,S14L2_HUMAN,1O6U; 1OLM; 4OMJ; 4OMK,SEC14L2,SEC14L2,HGNC:10699,Humans,DB00163; DB14001; DB14002
257,DNA-directed RNA polymerase subunit beta,rpoB,42818,V00339,P0A8V2,RPOB_ECOLI,3IYD; 3LTI; 3LU0; 3T72; 3TBI; 4JK1; 4JK2; 4KMU; 4KN4; 4KN7; 4MEX; 4MEY; 4S20; 4XSX; 4XSY; 4XSZ; 4YG2; 4YLN; 4YLO; 4YLP; 4ZH2; 4ZH3; 4ZH4; 5BYH,,,,Escherichia coli (strain K12),DB00615; DB01220; DB04934; DB11753
258,Mitochondrial ornithine transporter 2,SLC25A2,13445628,AF332005,Q9BXI2,ORNT2_HUMAN,,SLC25A2,SLC25A2,HGNC:22921,Humans,DB00129
259,"Beta-1,4-galactosyltransferase 1",B4GALT1,29424,X14085,P15291,B4GT1_HUMAN,2AE7; 2AEC; 2AES; 2AGD; 2AH9; 2FY7; 2FYA; 2FYB; 3EE5; 4EE3; 4EE4; 4EE5; 4EEA; 4EEG; 4EEM; 4EEO; 4L41; 6FWT; 6FWU,B4GALT1,B4GALT1,HGNC:924,Humans,DB00141; DB02696; DB03013; DB03501; DB03685; DB03814
260,"Trifunctional enzyme subunit alpha, mitochondrial",HADHA,862457,D16480,P40939,ECHA_HUMAN,5ZQZ; 5ZRV; 6DV2,HADHA,HADHA,HGNC:4801,Humans,DB00157
261,Cytosolic purine 5'-nucleotidase,NT5C2,633071,D38524,P49902,5NTC_HUMAN,2J2C; 2JC9; 2JCM; 2XCV; 2XCW; 2XCX; 2XJB; 2XJC; 2XJD; 2XJE; 2XJF; 4H4B; 5CQZ; 5CR7; 5K7Y; 5L4Z; 5L50; 5OPK; 5OPL; 5OPM; 5OPN; 5OPO; 5OPP; 6DD3; 6DDB; 6DDC; 6DDH; 6DDK; 6DDL; 6DDO; 6DDQ; 6DDX; 6DDY; 6DDZ; 6DE0; 6DE1; 6DE2; 6DE3; 6FIR; 6FIS; 6FIU; 6FIW; 6FXH,NT5C2,NT5C2,HGNC:8022,Humans,DB00171; DB06408
262,Prostaglandin G/H synthase 2,PTGS2,291988,L15326,P35354,PGH2_HUMAN,5F19; 5F1A; 5IKQ; 5IKR; 5IKT; 5IKV; 5KIR,PTGS2,PTGS2,HGNC:9605,Humans,DB00132; DB00154; DB00159; DB00166; DB00233; DB00244; DB00316; DB00328; DB00461; DB00465; DB00469; DB00480; DB00482; DB00500; DB00533; DB00554; DB00573; DB00580; DB00586; DB00605; DB00712; DB00749; DB00784; DB00788; DB00795; DB00812; DB00814; DB00821; DB00861; DB00870; DB00936; DB00939; DB00945; DB00963; DB00991; DB01009; DB01014; DB01050; DB01283; DB01397; DB01399; DB01401; DB01404; DB01419; DB01435; DB01600; DB01628; DB02266; DB02709; DB03477; DB03756; DB03866; DB04552; DB04725; DB04743; DB04828; DB05095; DB05409; DB06682; DB06725; DB06736; DB06802; DB07477; DB08439; DB08910; DB08951; DB08981; DB09061; DB09084; DB09212; DB09213; DB09214; DB09215; DB09216; DB09217; DB09285; DB09288; DB09295; DB11071; DB11079; DB11201; DB11323; DB11327; DB11672; DB11752; DB12009; DB12150; DB12354; DB12378; DB12399; DB12445; DB13167; DB13308; DB13346; DB13501; DB13783; DB13961; DB14009; DB14011; DB14059; DB14060; DB16088; DB16159; DB16877; DB16950; DB18267; DB19283; DB19479; DB20173; DB20457; DB20632; DB20690; DB20715; DB20743; DB21002; DB21176; DB21699
263,Nitric oxide synthase 3,NOS3,189212,M93718,P29474,NOS3_HUMAN,1M9J; 1M9K; 1M9M; 1M9Q; 1M9R; 1NIW; 2LL7; 2MG5; 2N8J; 3EAH; 3NOS; 4D1O; 4D1P; 5UO8; 5UO9; 5UOA; 5UOB; 5UOC; 5VVB; 5VVC; 5VVD; 5XOF; 6AV6; 6AV7; 6CIE; 6CIF; 6NH1; 6NH2; 6NH3; 6NH4; 6NH5; 6NH6; 6NH7; 6NH8; 6NHF; 6POU; 6POV; 6POW; 6POX; 6POY; 6POZ; 6PP0; 6PP1; 6PP2; 6PP3; 6PP4; 7M56; 7TSG; 7TSH; 7TSI; 7TSK; 7TSL; 7TSM; 7TSN; 7TSO; 7TSP; 7UAO; 8FGN; 8FGO; 8FGP; 8FGQ; 8FGR; 8FGS; 8FGT; 8FGU; 8UFR; 8UFS; 8UFT; 8UFU,NOS3,NOS3,HGNC:7876,Humans,DB00125; DB00155; DB00360; DB00435; DB01110; DB01686; DB01821; DB01833; DB01997; DB02027; DB02044; DB02048; DB02077; DB02141; DB02207; DB02234; DB02325; DB02335; DB02589; DB02911; DB02979; DB02994; DB03065; DB03100; DB03144; DB03305; DB03332; DB03707; DB03910; DB03918; DB03953; DB03963; DB03974; DB04018; DB04223; DB04534; DB04559; DB05252; DB07001; DB07244; DB07388; DB08018; DB08019; DB08604; DB09237; DB11815; DB12750; DB14511; DB18267
264,Activin receptor type-1,ACVR1,338219,L02911,Q04771,ACVR1_HUMAN,3H9R; 3MTF; 3OOM; 3Q4U; 4BGG; 4C02; 4DYM; 5OXG; 5OY6; 5S75; 5S76; 5S77; 5S78; 5S79; 5S7A; 5S7B; 5S7C; 5S7D; 5S7E; 5S7F; 5S7G; 5S7H; 5S7I; 5S7J; 5S7K; 5S7L; 5S7M; 5S7N; 5S7O; 5S7P; 5S7Q; 5S7R; 5S7S; 5S7T; 5S7U; 5S7V; 5S7W; 5S7X; 5S7Y; 5S7Z; 5S80; 5S81; 5S82; 5S83; 5S84; 5S85; 5S86; 5S87; 5S88; 5S89; 5S8A; 5S8B; 5S9K; 6ACR; 6EIX; 6GI6; 6GIN; 6GIP; 6I1S; 6JUX; 6SRH; 6SZM; 6T6D; 6T8N; 6TN8; 6UNQ; 6UNR; 6UNS; 6Z36; 6ZGC; 7A21; 7C3G; 7NNS; 7YRU; 8C7W; 8C7Z; 8POD; 8R7G; 8UWR; 9D8E; 9D8F; 9D8Z,ACVR1,ACVR1,HGNC:171,Humans,DB00171; DB08597; DB11763; DB12010; DB18152; DB21463
266,Neprilysin,MME,34758,X07166,P08473,NEP_HUMAN,1DMT; 1R1H; 1R1I; 1R1J; 1Y8J; 2QPJ; 2YB9; 4CTH; 5JMY; 6GID; 6SH1; 6SH2; 6SUK; 6SVY; 6THP; 6XVP,MME,MME,HGNC:7154,Humans,DB00616; DB00886; DB02062; DB02557; DB02558; DB02597; DB05796; DB06604; DB08575; DB08626; DB09292; DB11623; DB12923; DB14127; DB15356; DB20511; DB20954; DB21283
267,Carbonic anhydrase 1,CA1,29600,X05014,P00915,CAH1_HUMAN,1AZM; 1BZM; 1CRM; 1CZM; 1HCB; 1HUG; 1HUH; 1J9W; 1JV0; 2CAB; 2FOY; 2FW4; 2IT4; 2NMX; 2NN1; 2NN7; 3LXE; 3W6H; 3W6I; 4WR7; 4WUP; 4WUQ; 5E2M; 5GMM; 6EVR; 6EX1; 6F3B; 6FAF; 6FAG; 6G3V; 6HWZ; 6I0J; 6I0L; 6SWM; 6XZE; 6XZO; 6XZS; 6XZX; 6XZY; 6Y00; 7PLF; 7Q0D; 7QOB; 7ZL5; 8CDX; 8CDZ; 8Q6L; 8Q7G; 8QGV; 8QQ9; 8QUN; 8RLO; 8S4F,CA1,CA1,HGNC:1368,Humans,DB00232; DB00273; DB00310; DB00311; DB00381; DB00423; DB00436; DB00562; DB00606; DB00703; DB00774; DB00819; DB00869; DB00880; DB00909; DB00936; DB01021; DB01031; DB01144; DB01194; DB01325; DB01650; DB01795; DB01963; DB03255; DB03260; DB03854; DB04066; DB04214; DB04665; DB07050; DB07476; DB07767; DB08155; DB08156; DB08157; DB08165; DB08782; DB08846; DB09460; DB09472; DB11672; DB12348; DB12399; DB12418; DB12754; DB13495; DB14049; DB14086; DB14546; DB19764; DB19785
268,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",MTHFD2,35071,X16396,P13995,MTDC_HUMAN,5TC4; 6JIB; 6JID; 6KG2; 6S4A; 6S4E; 6S4F; 7EHJ; 7EHM; 7EHN; 7EHV; 9IS9; 9ISC; 9IT3; 9IT6; 9ITA,MTHFD2,MTHFD2,HGNC:7434,Humans,DB00116; DB00157
269,Adenylate cyclase type 1,ADCY1,41472630,AC069008,Q08828,ADCY1_HUMAN,,ADCY1,ADCY1,HGNC:232,Humans,DB00131; DB00171; DB00424; DB09121
270,Renin,REN,190994,L00073,P00797,RENI_HUMAN,1BBS; 1BIL; 1BIM; 1HRN; 1RNE; 2BKS; 2BKT; 2FS4; 2G1N; 2G1O; 2G1R; 2G1S; 2G1Y; 2G20; 2G21; 2G22; 2G24; 2G26; 2G27; 2I4Q; 2IKO; 2IKU; 2IL2; 2REN; 2V0Z; 2V10; 2V11; 2V12; 2V13; 2V16; 2X0B; 3D91; 3G6Z; 3G70; 3G72; 3GW5; 3K1W; 3KM4; 3O9L; 3OAD; 3OAG; 3OOT; 3OQF; 3OQK; 3OWN; 3Q3T; 3Q4B; 3Q5H; 3SFC; 3VCM; 3VSW; 3VSX; 3VUC; 3VYD; 3VYE; 3VYF; 4AMT; 4GJ5; 4GJ6; 4GJ7; 4GJ8; 4GJ9; 4GJA; 4GJB; 4GJC; 4GJD; 4PYV; 4Q1N; 4RYC; 4RYG; 4RZ1; 4S1G; 4XX3; 4XX4; 5KOQ; 5KOS; 5KOT; 5SXN; 5SY2; 5SY3; 5SZ9; 5T4S; 5TMG; 5TMK; 5V8V; 5VPM; 5VRP; 6I3F; 7XGK; 7XGO; 7XGP,REN,REN,HGNC:9958,Humans,DB00212; DB00722; DB01844; DB02296; DB02803; DB03024; DB03395; DB03736; DB03968; DB04379; DB04387; DB05203; DB06899; DB06967; DB07059; DB07113; DB07174; DB07244; DB08099; DB09026; DB12416; DB13097; DB19108; DB20615; DB20787
271,Folate receptor beta,FOLR2,1655592,X69516,P14207,FOLR2_HUMAN,4KMY; 4KMZ; 4KN0; 4KN1; 4KN2,FOLR2,FOLR2,HGNC:3793,Humans,DB00158; DB05168
272,NADH-ubiquinone oxidoreductase chain 4L,MT-ND4L,337197,J01415,P03901,NU4LM_HUMAN,5XTC; 5XTD,MT-ND4L,MT-ND4L,HGNC:7460,Humans,DB00157
273,Kynurenine--oxoglutarate transaminase 1,KYAT1,758591,X82224,Q16773,KAT1_HUMAN,1W7L; 1W7M; 1W7N; 3FVS; 3FVU; 3FVX; 4WLH; 4WLJ; 4WP0,KYAT1,CCBL1,HGNC:1564,Humans,DB00114; DB02142; DB02556; DB04083; DB07950
274,T-cell surface glycoprotein CD3 epsilon chain,CD3E,469945,X03884,P07766,CD3E_HUMAN,1A81; 1SY6; 1XIW; 2ROL; 5QU2; 6JXR; 7FJD; 7FJE; 7FJF; 7PHR; 8ES7; 8ES8; 8ES9; 8F0L; 8JC0; 8JCB; 8TW4; 8TW6; 8VY4; 8WXE; 8WY0; 8WYI; 8YC0; 9BBC; 9C3E; 9CI8; 9CIA; 9CQ4,CD3E,CD3E,HGNC:1674,Humans,DB00075; DB06606; DB06607; DB15434; DB16672
276,Solute carrier family 12 member 7,SLC12A7,5106521,AF105365,Q9Y666,S12A7_HUMAN,7D99,SLC12A7,SLC12A7,HGNC:10915,Humans,DB00761
277,"Electrogenic aspartate/glutamate antiporter SLC25A13, mitochondrial",SLC25A13,22002963,AJ496569,Q9UJS0,S2513_HUMAN,4P5W,SLC25A13,SLC25A13,HGNC:10983,Humans,DB00128
278,Chronophin,PDXP,37545684,AY125047,Q96GD0,PLPP_HUMAN,2CFR; 2CFS; 2CFT; 2OYC; 2P27; 2P69; 5GYN; 8S8A; 9EM1,PDXP,PDXP,HGNC:30259,Humans,DB00114
279,Small ribosomal subunit protein uS12,rpsL,43010,V00355,P0A7S3,RS12_ECOLI,1M5G; 1MJ1; 1ZN1; 2YKR; 3DEG; 3EP2; 3EQ3; 3EQ4; 3J0D; 3J0E; 3J9Y; 3J9Z; 3JA1; 4A2I; 4ADV; 4U1U; 4U1V; 4U20; 4U24; 4U25; 4U26; 4U27; 4V47; 4V48; 4V4H; 4V4Q; 4V4V; 4V4W; 4V50; 4V52; 4V53; 4V54; 4V55; 4V56; 4V57; 4V5B; 4V5H; 4V5Y; 4V64; 4V65; 4V66; 4V69; 4V6C; 4V6D; 4V6E; 4V6K; 4V6L; 4V6M; 4V6N; 4V6O; 4V6P; 4V6Q; 4V6R; 4V6S; 4V6T; 4V6V; 4V6Y; 4V6Z; 4V70; 4V71; 4V72; 4V73; 4V74; 4V75; 4V76; 4V77; 4V78; 4V79; 4V7A; 4V7B; 4V7C; 4V7D; 4V7I; 4V7S; 4V7T; 4V7U; 4V7V; 4V85; 4V89; 4V9C; 4V9D; 4V9O; 4V9P; 4WF1; 4WOI; 4WWW; 4YBB; 5AFI,,,,Escherichia coli (strain K12),DB00452; DB00479; DB00560; DB00798; DB00919; DB00955; DB00994; DB01082; DB01172; DB03615; DB04729; DB06696
280,Antithrombin-III,SERPINC1,179161,M21642,P01008,ANT3_HUMAN,1ANT; 1ATH; 1AZX; 1BR8; 1DZG; 1DZH; 1E03; 1E04; 1E05; 1JVQ; 1LK6; 1NQ9; 1OYH; 1R1L; 1SR5; 1T1F; 1TB6; 2ANT; 2B4X; 2B5T; 2BEH; 2GD4; 2HIJ; 2ZNH; 3EVJ; 3KCG; 4EB1,SERPINC1,SERPINC1,HGNC:775,Humans,DB00407; DB00569; DB01109; DB01225; DB04464; DB05361; DB06005; DB06271; DB06754; DB06779; DB06822; DB08813; DB09130; DB09258; DB11598; DB12955; DB15002
281,Solute carrier family 12 member 2,SLC12A2,903682,U30246,P55011,S12A2_HUMAN,6PZT; 7D10; 7MXO; 7N3N; 7S1X; 7S1Y; 7S1Z; 7SFL; 7SMP; 7ZGO; 8STE; 9C0E; 9C0G; 9C0H,SLC12A2,SLC12A2,HGNC:10911,Humans,DB00214; DB00761; DB00887; DB01325
282,RNA-directed RNA polymerase catalytic subunit,PB1,324960,M25932,P16502,RDRP_I56A0,,,,,Influenza A virus (strain A/Beijing/11/1956 H1N1),DB00811; DB06408
284,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3,NDUFB3,2909858,AF047183,O43676,NDUB3_HUMAN,5XTC; 5XTD; 5XTH; 5XTI,NDUFB3,NDUFB3,HGNC:7698,Humans,DB00157
285,Sodium-coupled neutral amino acid transporter 3,SLC38A3,10242111,AF244548,Q99624,S38A3_HUMAN,,SLC38A3,SLC38A3,HGNC:18044,Humans,DB00117
286,Arginase-1,ARG1,178995,M14502,P05089,ARGI1_HUMAN,1WVA; 1WVB; 2AEB; 2PHA; 2PHO; 2PLL; 2ZAV; 3DJ8; 3E6K; 3E6V; 3F80; 3GMZ; 3GN0; 3KV2; 3LP4; 3LP7; 3MFV; 3MFW; 3MJL; 3SJT; 3SKK; 3TF3; 3TH7; 3THE; 3THH; 3THJ; 4FCI; 4FCK; 4GSM; 4GSV; 4GSZ; 4GWC; 4GWD; 4HWW; 4HXQ; 4IE1; 6Q92; 6Q9P; 6QAF; 6V7C; 6V7D; 6V7E; 6V7F; 7K4G; 7K4H; 7K4I; 7K4J; 7K4K; 7KLK; 7KLL; 7KLM; 7LEX; 7LEY; 7LEZ; 7LF0; 7LF1; 7LF2; 8AUP; 8E5M; 8E5N,ARG1,ARG1,HGNC:663,Humans,DB00129; DB01983; DB02381; DB02499; DB02689; DB03144; DB03731; DB03904; DB04197; DB04530; DB04585; DB04648; DB06757
287,4-trimethylaminobutyraldehyde dehydrogenase,ALDH9A1,1049219,U34252,P49189,AL9A1_HUMAN,6QAK; 6QAO; 6QAP; 6VR6; 6VWF,ALDH9A1,ALDH9A1,HGNC:412,Humans,DB00157
289,Alpha-2A adrenergic receptor,ADRA2A,178196,M23533,P08913,ADA2A_HUMAN,1HLL; 1HO9; 1HOD; 1HOF; 6K42; 6KUX; 6KUY; 7EJ0; 7EJ8; 7EJA; 7EJK; 7W6P; 7W7E; 9CBL; 9CBM,ADRA2A,ADRA2A,HGNC:281,Humans,DB00246; DB00248; DB00320; DB00321; DB00363; DB00368; DB00370; DB00408; DB00413; DB00449; DB00457; DB00484; DB00502; DB00543; DB00555; DB00575; DB00589; DB00629; DB00633; DB00656; DB00668; DB00696; DB00714; DB00726; DB00751; DB00797; DB00800; DB00852; DB00865; DB00925; DB00935; DB00964; DB00968; DB01018; DB01136; DB01149; DB01200; DB01224; DB01238; DB01267; DB01363; DB01392; DB01403; DB01472; DB01577; DB01608; DB01624; DB03468; DB04846; DB04855; DB04946; DB04948; DB05492; DB06148; DB06153; DB06216; DB06229; DB06262; DB06623; DB06694; DB06711; DB08550; DB08815; DB09242; DB09244; DB09286; DB11124; DB11278; DB11428; DB11738; DB13064; DB14185; DB20960; DB21271
290,Sigma non-opioid intracellular receptor 1,SIGMAR1,123231939,AL450283,Q5T1J1,Q5T1J1_HUMAN,,,OPRS1,HGNC:8157,Humans,DB05792
291,5-hydroxytryptamine receptor 1A,HTR1A,189928,M28269,P08908,5HT1A_HUMAN,7E2X; 7E2Y; 7E2Z; 8FY8; 8FYE; 8FYL; 8FYT; 8FYX; 8JSP; 8JT6; 8PJK; 8PKM; 8W8B,HTR1A,HTR1A,HGNC:5286,Humans,DB00216; DB00246; DB00247; DB00248; DB00315; DB00320; DB00321; DB00363; DB00408; DB00413; DB00422; DB00458; DB00477; DB00490; DB00502; DB00540; DB00543; DB00571; DB00574; DB00589; DB00656; DB00669; DB00696; DB00714; DB00726; DB00734; DB00866; DB00904; DB00935; DB00952; DB00953; DB00960; DB00988; DB01142; DB01149; DB01151; DB01175; DB01186; DB01200; DB01224; DB01238; DB01267; DB01359; DB01392; DB01465; DB01484; DB01614; DB01616; DB01618; DB01621; DB04829; DB04884; DB04888; DB04908; DB04946; DB04948; DB04970; DB05271; DB05339; DB05422; DB05509; DB05562; DB06016; DB06148; DB06153; DB06216; DB06393; DB06446; DB06454; DB06506; DB06538; DB06684; DB08807; DB08810; DB08815; DB08839; DB08922; DB09000; DB09061; DB09068; DB09128; DB09167; DB09244; DB09289; DB11755; DB12061; DB12184; DB12288; DB12361; DB12478; DB12540; DB12661; DB12883; DB13775; DB14009; DB14010; DB14011; DB14185; DB15665; DB16040; DB16629; DB16936; DB17056; DB19033; DB19481; DB19603; DB19706; DB19724; DB19774; DB19784; DB19836; DB19853; DB19875; DB19963; DB20133; DB20244; DB20674; DB20960; DB21348
292,"Serine hydroxymethyltransferase, mitochondrial",SHMT2,746436,U23143,P34897,GLYM_HUMAN,4PVF; 5V7I; 5X3V; 6DK3; 6H3C; 6M5O; 6QVG; 6QVL; 6R8F; 7BYI; 8AQL; 8FJT; 8FJU; 8GKS; 8GKT; 8GKU; 8GKW; 8GKY; 8GKZ; 8QI7; 8SSJ; 8T4O; 8T4P; 8TLC; 9BOX,SHMT2,SHMT2,HGNC:10852,Humans,DB00114; DB00116; DB00145; DB11638
293,Vasopressin V2 receptor,AVPR2,28418,U04357,P30518,V2R_HUMAN,4JQI; 6NI2; 6U1N; 7BB6; 7BB7; 7DF9; 7DFA; 7DFB; 7DFC; 7DW9; 7KH0; 7R0C; 7R0J; 8GOC; 8I10; 8JRU; 8JRV; 8WRZ; 8WU1; 9BT8; 9CX3; 9CX9,AVPR2,AVPR2,HGNC:897,Humans,DB00035; DB00067; DB00107; DB00618; DB00872; DB02638; DB05091; DB05838; DB06212; DB06666; DB09059; DB11734; DB12643; DB14642; DB14923; DB16279
294,"Alanine--tRNA ligase, cytoplasmic",AARS1,1015321,D32050,P49588,SYAC_HUMAN,4XEM; 4XEO; 5KNN; 5T5S; 5T76; 5V59,AARS1,AARS,HGNC:20,Humans,DB00160
295,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 4,NDUFB4,4164446,AF044957,O95168,NDUB4_HUMAN,5XTC; 5XTD; 5XTH; 5XTI,NDUFB4,NDUFB4,HGNC:7699,Humans,DB00157
296,Prostaglandin D2 receptor,PTGDR,940379,U31332,Q13258,PD2R_HUMAN,,PTGDR,PTGDR,HGNC:9591,Humans,DB00374; DB00716; DB02056; DB11507; DB11629; DB12272; DB12562; DB12789; DB20492
297,L-lactate dehydrogenase A-like 6A,LDHAL6A,46405145,AY581313,Q6ZMR3,LDH6A_HUMAN,,LDHAL6A,LDHAL6A,HGNC:28335,Humans,DB00157
298,Glutathione reductase,gor,146248,M13141,P06715,GSHR_ECOLI,1GER; 1GES; 1GET; 1GEU,,,,Escherichia coli (strain K12),DB00336; DB03147
299,Sorbitol dehydrogenase,SORD,520450,U07361,Q00796,DHSO_HUMAN,1PL6; 1PL7; 1PL8,SORD,SORD,HGNC:11184,Humans,DB00157; DB04478
301,Retinol-binding protein 1,RBP1,190948,M11433,P09455,RET1_HUMAN,5H8T; 5H9A; 5HA1; 5HBS; 5LJB; 5LJC; 5LJD; 5LJE; 5LJG; 5LJH; 5LJK; 6E5L; 6E5T; 6E6M; 8GD2; 8GDM; 8GEM; 8GEU; 8GEV; 8GEY,RBP1,RBP1,HGNC:9919,Humans,DB00459
302,Beta-lactamase,blaZ,581568,X04121,P00807,BLAC_STAAU,1ALQ; 1BLC; 1BLH; 1BLP; 1DJA; 1DJB; 1DJC; 1GHI; 1GHM; 1GHP; 1KGE; 1KGF; 1KGG; 1OME; 1PIO; 3BLM,,,,Staphylococcus aureus,DB00766; DB01606; DB01896; DB02094; DB02122; DB02247; DB02503; DB02627; DB02642; DB02772; DB02797; DB03140; DB03530; DB03703; DB03814; DB04123; DB04133; DB04261; DB04360; DB07114; DB07803; DB08375; DB09324; DB12107; DB12377; DB14511; DB15353; DB16338; DB18716; DB21512
303,Voltage-dependent L-type calcium channel subunit beta-1,CACNB1,179806,M92303,Q02641,CACB1_HUMAN,7VFS; 7VFU; 7VFV; 7VFW; 7XLQ; 7YG5,CACNB1,CACNB1,HGNC:1401,Humans,DB00308; DB00381; DB00393; DB00898; DB01388; DB04855; DB09230
